shipment_id,order_id,shipping_date,delivery_status,delivery_time_days,warehouse
SHP-00052,ORD-00120,2026-06-14,Pending,12,WH-B
SHP-00053,ORD-00039,2026-06-18,Delayed,3,WH-C
SHP-00054,ORD-00105,2026-06-02,Pending,9,WH-C
SHP-00055,ORD-00042,2026-06-15,Pending,3,WH-A
SHP-00056,ORD-00087,2026-06-09,Delivered,,WH-C
SHP-00057,ORD-00004,2026-06-09,Delayed,8,WH-C
SHP-00058,ORD-00028,2026-06-25,Delayed,9,WH-A
SHP-00059,ORD-00018,2026-06-05,Delayed,6,WH-A
SHP-00060,ORD-00045,2026-06-24,Delayed,8,WH-C
SHP-00061,ORD-00047,2026-06-10,Delayed,2,WH-C
SHP-00062,ORD-00080,2026-06-07,Delivered,,WH-C
SHP-00063,ORD-00050,2026-06-21,Pending,12,WH-C
SHP-00064,ORD-00004,2026-06-22,Delivered,,WH-A
SHP-00065,ORD-00098,2026-06-15,Delivered,,WH-A
SHP-00066,ORD-00155,2026-06-07,Delayed,6,WH-C
SHP-00067,ORD-00025,2026-06-05,Delayed,5,WH-A
SHP-00068,ORD-00034,2026-06-27,Delivered,,WH-B
SHP-00069,ORD-00150,2026-06-01,Pending,12,WH-C
SHP-00070,ORD-00142,2026-06-04,Delivered,,WH-C
SHP-00071,ORD-00115,2026-06-21,Delivered,,WH-C
SHP-00072,ORD-00045,2026-06-06,Delivered,,WH-A
SHP-00073,ORD-00018,2026-06-17,Pending,6,WH-B
SHP-00074,ORD-00062,2026-06-10,Delivered,,WH-B
SHP-00075,ORD-00004,2026-06-13,Delayed,4,WH-C
SHP-00076,ORD-00003,2026-06-26,Delayed,1,WH-B
SHP-00077,ORD-00080,2026-06-13,Delivered,,WH-C
SHP-00078,ORD-00040,2026-06-26,Delivered,,WH-C
SHP-00079,ORD-00053,2026-06-14,Delayed,1,WH-B
SHP-00080,ORD-00038,2026-06-12,Delayed,12,WH-A
SHP-00081,ORD-00059,2026-06-01,Pending,1,WH-B
SHP-00082,ORD-00054,2026-06-18,Delayed,5,WH-C
SHP-00083,ORD-00040,2026-06-18,Delivered,,WH-A
SHP-00084,ORD-00075,2026-06-16,Delivered,,WH-B
SHP-00085,ORD-00029,2026-06-11,Delayed,9,WH-A
SHP-00086,ORD-00038,2026-06-26,Delivered,,WH-A
SHP-00087,ORD-00035,2026-06-07,Pending,8,WH-A
SHP-00088,ORD-00118,2026-06-26,Delivered,,WH-C
SHP-00089,ORD-00008,2026-06-17,Pending,5,WH-A
SHP-00090,ORD-00048,2026-06-25,Delayed,3,WH-A
SHP-00091,ORD-00110,2026-06-19,Pending,4,WH-B
SHP-00092,ORD-00010,2026-06-04,Delivered,,WH-A
SHP-00093,ORD-00034,2026-06-04,Delayed,5,WH-B
SHP-00094,ORD-00090,2026-06-17,Delivered,,WH-C
SHP-00095,ORD-00112,2026-06-29,Delayed,2,WH-B
SHP-00096,ORD-00130,2026-06-09,Delayed,11,WH-C
SHP-00097,ORD-00126,2026-06-24,Delivered,,WH-C
SHP-00098,ORD-00104,2026-06-01,Delivered,,WH-C
SHP-00099,ORD-00077,2026-06-12,Delivered,,WH-A
SHP-00100,ORD-00018,2026-06-10,Delivered,,WH-B
SHP-00101,ORD-00053,2026-06-14,Delivered,,WH-B
SHP-00102,ORD-00001,2026-06-18,Pending,6,WH-C
SHP-00103,ORD-00018,2026-06-03,Delivered,,WH-C
SHP-00104,ORD-00119,2026-06-28,Pending,6,WH-B
SHP-00105,ORD-00017,2026-06-18,Pending,6,WH-A
SHP-00106,ORD-00094,2026-06-15,Delivered,,WH-C
SHP-00107,ORD-00081,2026-06-05,Delivered,,WH-B
SHP-00108,ORD-00030,2026-06-04,Delivered,,WH-B
SHP-00109,ORD-00121,2026-06-11,Pending,7,WH-A
SHP-00110,ORD-00070,2026-06-03,Delivered,,WH-A
SHP-00111,ORD-00080,2026-06-05,Delivered,,WH-B
SHP-00112,ORD-00095,2026-06-20,Delayed,7,WH-B
SHP-00113,ORD-00063,2026-06-17,Delayed,14,WH-A
SHP-00114,ORD-00064,2026-06-27,Delayed,13,WH-C
SHP-00115,ORD-00052,2026-06-07,Pending,10,WH-B
SHP-00116,ORD-00134,2026-06-10,Delayed,5,WH-A
SHP-00117,ORD-00021,2026-06-06,Delivered,,WH-A
SHP-00118,ORD-00042,2026-06-24,Pending,11,WH-C
SHP-00119,ORD-00094,2026-06-14,Pending,3,WH-A
SHP-00120,ORD-00039,2026-06-04,Pending,11,WH-B
SHP-00121,ORD-00116,2026-06-14,Delayed,8,WH-C
SHP-00122,ORD-00010,2026-06-06,Delivered,,WH-B
SHP-00123,ORD-00117,2026-06-09,Pending,13,WH-A
SHP-00124,ORD-00143,2026-06-16,Delayed,6,WH-B
SHP-00125,ORD-00112,2026-06-28,Delayed,10,WH-C
SHP-00126,ORD-00110,2026-06-24,Delayed,2,WH-C
SHP-00127,ORD-00134,2026-06-05,Delayed,10,WH-C
SHP-00128,ORD-00015,2026-06-02,Pending,6,WH-A
SHP-00129,ORD-00073,2026-06-14,Pending,4,WH-A
SHP-00130,ORD-00094,2026-06-16,Delivered,,WH-A
SHP-00131,ORD-00130,2026-06-01,Delivered,,WH-B
SHP-00132,ORD-00022,2026-06-29,Pending,14,WH-B
SHP-00133,ORD-00002,2026-06-24,Pending,14,WH-A
SHP-00134,ORD-00097,2026-06-26,Pending,4,WH-B
SHP-00135,ORD-00138,2026-06-19,Pending,10,WH-B
SHP-00136,ORD-00046,2026-06-04,Pending,14,WH-A
SHP-00137,ORD-00091,2026-06-19,Delayed,6,WH-A
SHP-00138,ORD-00102,2026-06-28,Delayed,5,WH-B
SHP-00139,ORD-00155,2026-06-11,Delivered,,WH-C
SHP-00140,ORD-00109,2026-06-28,Delivered,,WH-C
SHP-00141,ORD-00014,2026-06-17,Delivered,,WH-C
SHP-00142,ORD-00118,2026-06-29,Delivered,,WH-B
SHP-00143,ORD-00053,2026-06-08,Delivered,,WH-C
SHP-00144,ORD-00006,2026-06-04,Pending,8,WH-A
SHP-00145,ORD-00098,2026-06-13,Delivered,,WH-B
SHP-00146,ORD-00072,2026-06-11,Delayed,14,WH-C
SHP-00147,ORD-00030,2026-06-18,Delivered,,WH-B
SHP-00148,ORD-00112,2026-06-09,Delivered,,WH-C
SHP-00149,ORD-00145,2026-06-10,Pending,2,WH-B
SHP-00150,ORD-00139,2026-06-09,Delivered,,WH-A
SHP-00151,ORD-00121,2026-06-10,Delivered,,WH-B
SHP-00152,ORD-00124,2026-06-21,Delayed,5,WH-C
SHP-00153,ORD-00129,2026-06-20,Delivered,,WH-B
SHP-00154,ORD-00103,2026-06-25,Delayed,10,WH-B
SHP-00155,ORD-00154,2026-06-15,Delayed,11,WH-A
SHP-00156,ORD-00061,2026-06-18,Delivered,,WH-B
