order_id,customer_id,product_id,order_date,supplier_id,order_qty
ORD-00038,CUS-00076,PRO-00119,2026-04-29 03:34:04,SUP-00125,9
ORD-00039,CUS-00069,PRO-00153,2026-05-07 04:45:19,SUP-00145,37
ORD-00040,CUS-00125,PRO-00153,2026-05-17 02:03:26,SUP-00028,40
ORD-00041,CUS-00004,PRO-00046,2026-05-19 04:08:12,SUP-00004,33
ORD-00042,CUS-00047,PRO-00038,2026-05-09 12:59:14,SUP-00091,30
ORD-00043,CUS-00049,PRO-00024,2026-05-04 02:02:04,SUP-00024,13
ORD-00044,CUS-00132,PRO-00139,2026-04-28 02:08:17,SUP-00032,5
ORD-00045,CUS-00065,PRO-00129,2026-06-12 00:03:27,SUP-00120,49
ORD-00046,CUS-00107,PRO-00039,2026-06-07 12:58:20,SUP-00101,16
ORD-00047,CUS-00052,PRO-00145,2026-05-17 12:17:04,SUP-00022,21
ORD-00048,CUS-00114,PRO-00125,2026-06-08 14:44:59,SUP-00053,38
ORD-00049,CUS-00027,PRO-00022,2026-05-03 02:35:20,SUP-00057,48
ORD-00050,CUS-00095,PRO-00003,2026-05-07 14:42:29,SUP-00100,15
ORD-00051,CUS-00047,PRO-00091,2026-05-19 10:24:14,SUP-00111,13
ORD-00052,CUS-00155,PRO-00143,2026-04-30 17:51:52,SUP-00064,38
ORD-00053,CUS-00025,PRO-00113,2026-05-20 11:07:11,SUP-00116,24
ORD-00054,CUS-00036,PRO-00076,2026-06-03 18:12:43,SUP-00116,9
ORD-00055,CUS-00070,PRO-00110,2026-05-24 08:50:11,SUP-00138,10
ORD-00056,CUS-00031,PRO-00126,2026-04-26 15:52:31,SUP-00073,43
ORD-00057,CUS-00056,PRO-00077,2026-05-27 19:42:37,SUP-00051,19
ORD-00058,CUS-00066,PRO-00084,2026-05-19 16:13:39,SUP-00114,5
ORD-00059,CUS-00069,PRO-00133,2026-05-16 18:44:44,SUP-00096,27
ORD-00060,CUS-00060,PRO-00101,2026-05-12 17:15:50,SUP-00022,42
ORD-00061,CUS-00117,PRO-00051,2026-05-16 10:44:45,SUP-00057,19
ORD-00062,CUS-00106,PRO-00103,2026-05-29 07:07:28,SUP-00098,44
ORD-00063,CUS-00019,PRO-00026,2026-04-24 19:15:02,SUP-00072,44
ORD-00064,CUS-00067,PRO-00072,2026-05-24 18:05:51,SUP-00134,24
ORD-00065,CUS-00001,PRO-00027,2026-05-23 01:29:32,SUP-00020,33
ORD-00066,CUS-00083,PRO-00060,2026-04-24 02:02:53,SUP-00068,48
ORD-00067,CUS-00056,PRO-00154,2026-05-14 06:42:50,SUP-00013,14
ORD-00068,CUS-00039,PRO-00062,2026-06-04 00:36:31,SUP-00151,4
ORD-00069,CUS-00022,PRO-00063,2026-05-08 09:06:08,SUP-00051,36
ORD-00070,CUS-00054,PRO-00140,2026-05-10 09:28:14,SUP-00016,43
ORD-00071,CUS-00102,PRO-00066,2026-05-23 12:57:41,SUP-00099,25
ORD-00072,CUS-00120,PRO-00058,2026-05-19 23:37:01,SUP-00133,27
ORD-00073,CUS-00104,PRO-00134,2026-05-10 20:17:14,SUP-00088,45
ORD-00074,CUS-00041,PRO-00019,2026-04-28 12:04:43,SUP-00130,39
ORD-00075,CUS-00016,PRO-00028,2026-05-18 07:35:00,SUP-00048,36
ORD-00076,CUS-00140,PRO-00120,2026-05-18 21:42:56,SUP-00067,36
ORD-00077,CUS-00028,PRO-00011,2026-05-27 02:31:20,SUP-00064,37
ORD-00078,CUS-00085,PRO-00138,2026-06-02 22:35:27,SUP-00086,11
ORD-00079,CUS-00097,PRO-00107,2026-05-04 01:42:53,SUP-00094,44
ORD-00080,CUS-00145,PRO-00144,2026-05-01 03:02:26,SUP-00035,11
ORD-00081,CUS-00054,PRO-00037,2026-05-26 18:37:47,SUP-00152,30
ORD-00082,CUS-00039,PRO-00094,2026-05-11 09:20:44,SUP-00077,33
ORD-00083,CUS-00113,PRO-00002,2026-04-29 15:20:19,SUP-00082,33
ORD-00084,CUS-00089,PRO-00081,2026-05-24 00:13:53,SUP-00115,8
ORD-00085,CUS-00129,PRO-00132,2026-05-22 22:48:46,SUP-00089,24
ORD-00086,CUS-00123,PRO-00031,2026-05-27 16:33:27,SUP-00024,49
ORD-00087,CUS-00069,PRO-00064,2026-05-22 04:02:32,SUP-00144,9
ORD-00088,CUS-00077,PRO-00052,2026-05-17 18:11:05,SUP-00028,38
ORD-00089,CUS-00132,PRO-00128,2026-06-03 01:50:41,SUP-00087,3
ORD-00090,CUS-00128,PRO-00138,2026-05-27 13:26:29,SUP-00012,5
ORD-00091,CUS-00109,PRO-00096,2026-05-28 12:18:22,SUP-00078,39
ORD-00092,CUS-00060,PRO-00131,2026-06-03 19:15:20,SUP-00152,44
ORD-00093,CUS-00155,PRO-00008,2026-05-16 11:54:10,SUP-00075,17
ORD-00094,CUS-00103,PRO-00048,2026-05-08 05:25:43,SUP-00086,2
ORD-00095,CUS-00095,PRO-00025,2026-06-11 01:09:59,SUP-00081,39
ORD-00096,CUS-00023,PRO-00040,2026-05-25 20:55:41,SUP-00040,1
ORD-00097,CUS-00132,PRO-00044,2026-06-05 13:20:29,SUP-00080,21
ORD-00098,CUS-00068,PRO-00107,2026-05-25 02:42:31,SUP-00046,10
ORD-00099,CUS-00013,PRO-00152,2026-05-21 06:50:05,SUP-00135,25
ORD-00100,CUS-00109,PRO-00155,2026-05-15 17:21:03,SUP-00023,47
ORD-00101,CUS-00030,PRO-00044,2026-05-05 10:13:12,SUP-00021,50
ORD-00102,CUS-00044,PRO-00055,2026-04-25 13:51:30,SUP-00123,27
ORD-00103,CUS-00105,PRO-00036,2026-04-27 09:16:27,SUP-00137,6
ORD-00104,CUS-00143,PRO-00140,2026-05-12 17:00:59,SUP-00117,27
ORD-00105,CUS-00042,PRO-00044,2026-05-31 03:54:51,SUP-00043,44
ORD-00106,CUS-00053,PRO-00114,2026-04-26 02:50:11,SUP-00047,10
ORD-00107,CUS-00089,PRO-00015,2026-05-10 21:31:20,SUP-00117,18
ORD-00108,CUS-00008,PRO-00048,2026-06-01 05:36:21,SUP-00104,29
ORD-00109,CUS-00006,PRO-00121,2026-06-09 02:09:19,SUP-00053,13
ORD-00110,CUS-00027,PRO-00054,2026-04-26 01:51:41,SUP-00043,42
ORD-00111,CUS-00030,PRO-00146,2026-05-24 08:05:15,SUP-00079,11
ORD-00112,CUS-00024,PRO-00077,2026-06-03 14:13:51,SUP-00050,32
ORD-00113,CUS-00030,PRO-00030,2026-05-11 21:04:30,SUP-00007,46
ORD-00114,CUS-00070,PRO-00022,2026-06-02 12:42:44,SUP-00114,10
ORD-00115,CUS-00034,PRO-00128,2026-05-09 09:06:02,SUP-00031,11
ORD-00116,CUS-00090,PRO-00029,2026-05-12 03:49:13,SUP-00077,50
ORD-00117,CUS-00037,PRO-00123,2026-05-24 13:56:16,SUP-00092,34
ORD-00118,CUS-00074,PRO-00148,2026-05-10 12:30:14,SUP-00053,34
ORD-00119,CUS-00064,PRO-00118,2026-05-05 22:38:36,SUP-00106,40
ORD-00120,CUS-00083,PRO-00082,2026-05-08 02:25:17,SUP-00133,37
ORD-00121,CUS-00102,PRO-00019,2026-06-11 13:33:23,SUP-00021,16
ORD-00122,CUS-00101,PRO-00045,2026-05-12 00:53:36,SUP-00132,23
ORD-00123,CUS-00101,PRO-00058,2026-06-05 04:24:51,SUP-00092,40
ORD-00124,CUS-00128,PRO-00145,2026-05-09 03:59:01,SUP-00106,25
ORD-00125,CUS-00033,PRO-00011,2026-05-23 08:19:47,SUP-00121,29
ORD-00126,CUS-00037,PRO-00124,2026-05-04 05:47:07,SUP-00109,15
ORD-00127,CUS-00054,PRO-00060,2026-05-30 14:34:48,SUP-00121,16
ORD-00128,CUS-00152,PRO-00015,2026-06-12 13:57:08,SUP-00083,18
ORD-00129,CUS-00132,PRO-00062,2026-04-24 13:08:34,SUP-00108,2
ORD-00130,CUS-00027,PRO-00050,2026-05-23 15:59:08,SUP-00062,6
ORD-00131,CUS-00074,PRO-00079,2026-05-24 03:12:07,SUP-00038,6
ORD-00132,CUS-00094,PRO-00047,2026-05-17 21:46:23,SUP-00154,50
ORD-00133,CUS-00101,PRO-00139,2026-06-04 05:06:37,SUP-00037,1
ORD-00134,CUS-00081,PRO-00046,2026-05-13 14:32:20,SUP-00139,11
ORD-00135,CUS-00095,PRO-00108,2026-05-07 07:25:27,SUP-00044,40
ORD-00136,CUS-00061,PRO-00087,2026-05-31 05:17:17,SUP-00130,15
ORD-00137,CUS-00138,PRO-00083,2026-05-15 06:18:32,SUP-00096,45
ORD-00138,CUS-00086,PRO-00009,2026-05-16 00:48:56,SUP-00123,43
ORD-00139,CUS-00047,PRO-00142,2026-05-02 00:03:31,SUP-00068,3
ORD-00140,CUS-00074,PRO-00129,2026-05-02 19:48:14,SUP-00041,1
ORD-00141,CUS-00013,PRO-00115,2026-05-05 07:28:21,SUP-00098,42
ORD-00142,CUS-00083,PRO-00080,2026-05-12 12:39:08,SUP-00091,5
ORD-00143,CUS-00098,PRO-00112,2026-05-27 07:33:14,SUP-00022,5
ORD-00144,CUS-00102,PRO-00061,2026-04-25 12:11:13,SUP-00031,29
ORD-00145,CUS-00155,PRO-00148,2026-06-09 14:56:49,SUP-00006,5
ORD-00146,CUS-00144,PRO-00006,2026-05-02 08:40:23,SUP-00153,3
ORD-00147,CUS-00119,PRO-00006,2026-04-27 10:26:06,SUP-00116,18
ORD-00148,CUS-00006,PRO-00121,2026-05-07 12:16:06,SUP-00042,9
ORD-00149,CUS-00075,PRO-00083,2026-05-14 22:29:09,SUP-00140,9
ORD-00150,CUS-00073,PRO-00133,2026-05-29 02:44:11,SUP-00156,34
ORD-00151,CUS-00115,PRO-00061,2026-05-19 08:29:57,SUP-00091,20
ORD-00152,CUS-00108,PRO-00115,2026-06-08 05:54:53,SUP-00079,32
ORD-00153,CUS-00013,PRO-00149,2026-05-23 09:14:18,SUP-00071,14
ORD-00154,CUS-00054,PRO-00149,2026-06-04 08:51:58,SUP-00066,35
ORD-00155,CUS-00079,PRO-00017,2026-05-16 17:52:26,SUP-00021,34
ORD-00156,CUS-00040,PRO-00089,2026-06-03 17:39:23,SUP-00136,40
